time,command,ambient_temp,room_temp,humidity,energy,total_energy
2019-11-01 05:12:30.507,heating,25.53,26.06,59.12,0.009,0.47
2019-11-01 05:12:35.507,off,25.51,25.98,59.15,0.0,0.47
2019-11-01 05:12:40.507,heating,25.52,26.08,59.11,0.009,0.48
2019-11-01 05:12:45.507,off,25.53,26.01,59.1,0.0,0.48
2019-11-01 05:12:50.507,off,25.53,25.93,59.1,0.0,0.48
2019-11-01 05:12:55.507,heating,25.53,26.03,59.1,0.009,0.49
2019-11-01 05:13:00.507,off,25.51,25.96,59.14,0.0,0.49
2019-11-01 05:13:05.507,heating,25.53,26.06,59.1,0.009,0.5
2019-11-01 05:13:10.507,off,25.53,25.98,59.1,0.0,0.5
2019-11-01 05:13:15.507,heating,25.53,26.08,59.09,0.009,0.51
2019-11-01 05:13:20.507,off,25.53,26.0,59.09,0.0,0.51
2019-11-01 05:13:25.507,off,25.53,25.93,59.09,0.0,0.51
2019-11-01 05:13:30.507,heating,25.53,26.03,59.09,0.009,0.52
2019-11-01 05:13:35.507,off,25.56,25.95,58.97,0.0,0.52
2019-11-01 05:13:40.507,heating,25.56,26.05,58.97,0.009,0.53
2019-11-01 05:13:45.507,off,25.56,25.97,58.98,0.0,0.53
2019-11-01 05:13:50.507,heating,25.55,26.07,59.02,0.009,0.54
2019-11-01 05:13:55.507,off,25.55,26.0,59.01,0.0,0.54
2019-11-01 05:14:00.507,heating,25.55,26.1,59.01,0.009,0.55
2019-11-01 05:14:05.507,off,25.57,26.02,58.97,0.0,0.55
2019-11-01 05:14:10.507,off,25.57,25.94,58.97,0.0,0.55
2019-11-01 05:14:15.507,heating,25.59,26.04,58.88,0.009,0.55
2019-11-01 05:14:20.507,off,25.6,25.97,58.83,0.0,0.55
2019-11-01 05:14:25.507,heating,25.6,26.07,58.83,0.009,0.56
2019-11-01 05:14:30.507,off,25.6,25.99,58.83,0.0,0.56
2019-11-01 05:14:35.507,heating,25.57,26.09,58.92,0.009,0.57
2019-11-01 05:14:40.507,off,25.57,26.02,58.92,0.0,0.57
2019-11-01 05:14:45.507,off,25.58,25.94,58.88,0.0,0.57
2019-11-01 05:14:50.507,heating,25.59,26.04,58.88,0.009,0.58
2019-11-01 05:14:55.507,off,25.58,25.96,58.88,0.0,0.58
2019-11-01 05:15:00.507,heating,25.59,26.06,58.82,0.009,0.59
2019-11-01 05:15:05.507,off,25.59,25.99,58.82,0.0,0.59
2019-11-01 05:15:10.507,heating,25.59,26.09,58.82,0.009,0.6
2019-11-01 05:15:15.507,off,25.59,26.01,58.82,0.0,0.6
2019-11-01 05:15:20.507,off,25.59,25.93,58.82,0.0,0.6
2019-11-01 05:15:25.507,heating,25.59,26.03,58.82,0.009,0.61
2019-11-01 05:15:30.507,off,25.59,25.96,58.82,0.0,0.61
2019-11-01 05:15:35.507,heating,25.58,26.06,58.86,0.009,0.62
2019-11-01 05:15:40.507,off,25.58,25.98,58.86,0.0,0.62
2019-11-01 05:15:45.507,heating,25.58,26.08,58.86,0.009,0.63
2019-11-01 05:15:50.507,off,25.58,26.0,58.86,0.0,0.63
2019-11-01 05:15:55.507,off,25.61,25.93,58.77,0.0,0.63
2019-11-01 05:16:00.507,heating,25.59,26.03,58.81,0.009,0.64
2019-11-01 05:16:05.507,off,25.61,25.95,58.77,0.0,0.64
2019-11-01 05:16:10.507,heating,25.63,26.05,58.69,0.009,0.64
2019-11-01 05:16:15.507,off,25.62,25.97,58.73,0.0,0.64
2019-11-01 05:16:20.507,heating,25.62,26.07,58.73,0.009,0.65
2019-11-01 05:16:25.507,off,25.63,26.0,58.69,0.0,0.65
2019-11-01 05:16:30.507,heating,25.63,26.1,58.68,0.009,0.66
2019-11-01 05:16:35.507,off,25.63,26.02,58.68,0.0,0.66
2019-11-01 05:16:40.507,off,25.63,25.94,58.69,0.0,0.66
2019-11-01 05:16:45.507,heating,25.65,26.04,58.62,0.009,0.67
2019-11-01 05:16:50.507,off,25.62,25.97,58.73,0.0,0.67
2019-11-01 05:16:55.507,heating,25.62,26.07,58.73,0.009,0.68
2019-11-01 05:17:00.507,off,25.63,25.99,58.69,0.0,0.68
2019-11-01 05:17:05.507,heating,25.61,26.09,58.74,0.009,0.69
2019-11-01 05:17:10.507,off,25.63,26.01,58.68,0.0,0.69
2019-11-01 05:17:15.507,off,25.61,25.94,58.73,0.0,0.69
2019-11-01 05:17:20.507,heating,25.59,26.04,58.81,0.009,0.7
2019-11-01 05:17:25.507,off,25.59,25.96,58.81,0.0,0.7
2019-11-01 05:17:30.507,heating,25.59,26.06,58.81,0.009,0.71
2019-11-01 05:17:35.507,off,25.62,25.99,58.69,0.0,0.71
2019-11-01 05:17:40.507,heating,25.61,26.09,58.73,0.009,0.72
2019-11-01 05:17:45.507,off,25.63,26.01,58.64,0.0,0.72
2019-11-01 05:17:50.507,off,25.63,25.93,58.63,0.0,0.72
2019-11-01 05:17:55.507,heating,25.63,26.03,58.63,0.009,0.73
2019-11-01 05:18:00.507,off,25.65,25.96,58.59,0.0,0.73
2019-11-01 05:18:05.507,heating,25.62,26.06,58.68,0.009,0.73
2019-11-01 05:18:10.507,off,25.62,25.98,58.68,0.0,0.73
2019-11-01 05:18:15.507,heating,25.62,26.08,58.67,0.009,0.74
2019-11-01 05:18:20.507,off,25.62,26.0,58.67,0.0,0.74
2019-11-01 05:18:25.507,off,25.62,25.93,58.67,0.0,0.74
2019-11-01 05:18:30.507,heating,25.62,26.03,58.67,0.009,0.75
2019-11-01 05:18:35.507,off,25.6,25.95,58.76,0.0,0.75
2019-11-01 05:18:40.507,heating,25.6,26.05,58.76,0.009,0.76
2019-11-01 05:18:45.507,off,25.6,25.97,58.75,0.0,0.76
2019-11-01 05:18:50.507,heating,25.6,26.07,58.75,0.009,0.77
2019-11-01 05:18:55.507,off,25.6,26.0,58.75,0.0,0.77
2019-11-01 05:19:00.507,heating,25.6,26.1,58.75,0.009,0.78
2019-11-01 05:19:05.507,off,25.6,26.02,58.74,0.0,0.78
2019-11-01 05:19:10.507,off,25.6,25.94,58.74,0.0,0.78
2019-11-01 05:19:15.507,heating,25.57,26.04,58.83,0.009,0.79
2019-11-01 05:19:20.507,off,25.6,25.97,58.74,0.0,0.79
2019-11-01 05:19:25.507,heating,25.6,26.07,58.73,0.009,0.8
2019-11-01 05:19:30.507,off,25.59,25.99,58.78,0.0,0.8
2019-11-01 05:19:35.507,heating,25.59,26.09,58.78,0.009,0.81
2019-11-01 05:19:40.507,off,25.57,26.02,58.82,0.0,0.81
2019-11-01 05:19:45.507,off,25.57,25.94,58.82,0.0,0.81
2019-11-01 05:19:50.507,heating,25.57,26.04,58.83,0.009,0.82
2019-11-01 05:19:55.507,off,25.57,25.96,58.83,0.0,0.82
2019-11-01 05:20:00.507,heating,25.56,26.06,58.88,0.009,0.82
2019-11-01 05:20:05.507,off,25.56,25.99,58.88,0.0,0.82
2019-11-01 05:20:10.507,heating,25.56,26.09,58.88,0.009,0.83
2019-11-01 05:20:15.507,off,25.54,26.01,58.92,0.0,0.83
2019-11-01 05:20:20.507,off,25.54,25.93,58.92,0.0,0.83
2019-11-01 05:20:25.507,heating,25.56,26.03,58.88,0.009,0.84
2019-11-01 05:20:30.507,off,25.56,25.96,58.88,0.0,0.84
2019-11-01 05:20:35.507,heating,25.57,26.06,58.84,0.009,0.85
2019-11-01 05:20:40.507,off,25.59,25.98,58.79,0.0,0.85
2019-11-01 05:20:45.507,heating,25.58,26.08,58.83,0.009,0.86
2019-11-01 05:20:50.507,off,25.58,26.0,58.83,0.0,0.86
2019-11-01 05:20:55.507,off,25.54,25.93,58.93,0.0,0.86
2019-11-01 05:21:00.507,heating,25.54,26.03,58.93,0.009,0.87
2019-11-01 05:21:05.507,off,25.54,25.95,58.93,0.0,0.87
2019-11-01 05:21:10.507,heating,25.5,26.05,59.05,0.009,0.88
2019-11-01 05:21:15.507,off,25.52,25.97,59.0,0.0,0.88
2019-11-01 05:21:20.507,heating,25.56,26.07,58.89,0.009,0.89
2019-11-01 05:21:25.507,off,25.55,26.0,58.89,0.0,0.89
2019-11-01 05:21:30.507,heating,25.55,26.1,58.9,0.009,0.9
2019-11-01 05:21:35.507,off,25.55,26.02,58.9,0.0,0.9
2019-11-01 05:21:40.507,off,25.55,25.94,58.89,0.0,0.9
2019-11-01 05:21:45.507,heating,25.5,26.04,59.05,0.009,0.91
2019-11-01 05:21:50.507,off,25.52,25.97,59.0,0.0,0.91
2019-11-01 05:21:55.507,heating,25.5,26.07,59.04,0.009,0.92
2019-11-01 05:22:00.507,off,25.5,25.99,59.04,0.0,0.92
2019-11-01 05:22:05.507,heating,25.52,26.09,59.0,0.009,0.92
2019-11-01 05:22:10.507,off,25.52,26.02,59.0,0.0,0.92
2019-11-01 05:22:15.507,off,25.52,25.94,58.99,0.0,0.92
2019-11-01 05:22:20.507,heating,25.51,26.04,59.0,0.009,0.93
2019-11-01 05:22:25.507,off,25.51,25.96,59.0,0.0,0.93
2019-11-01 05:22:30.507,heating,25.5,26.06,59.04,0.009,0.94
2019-11-01 05:22:35.507,off,25.47,25.99,59.15,0.0,0.94
2019-11-01 05:22:40.507,heating,25.52,26.09,58.99,0.009,0.95
2019-11-01 05:22:45.507,off,25.48,26.01,59.11,0.0,0.95
2019-11-01 05:22:50.507,off,25.47,25.93,59.14,0.0,0.95
2019-11-01 05:22:55.507,heating,25.47,26.03,59.14,0.009,0.96
2019-11-01 05:23:00.507,off,25.47,25.96,59.14,0.0,0.96
2019-11-01 05:23:05.507,heating,25.53,26.06,58.94,0.009,0.97
2019-11-01 05:23:10.507,off,25.53,26.0,58.94,0.0,0.97
2019-11-01 05:23:15.507,off,25.53,26.0,58.94,0.0,0.97
2019-11-01 05:23:20.507,off,25.53,26.0,58.94,0.0,0.97
2019-11-01 05:23:25.507,off,25.57,26.03,58.83,0.0,0.97
2019-11-01 05:23:30.507,off,25.6,26.11,58.73,0.0,0.97
2019-11-01 05:23:35.507,off,25.59,26.03,58.78,0.0,0.97
2019-11-01 05:23:40.507,off,25.59,26.03,58.78,0.0,0.97
2019-11-01 05:23:45.507,off,25.59,26.03,58.78,0.0,0.97
2019-11-01 05:23:50.507,off,25.6,26.03,58.72,0.0,0.97
2019-11-01 05:23:55.507,off,25.6,25.96,58.73,0.0,0.97
2019-11-01 05:24:00.507,heating,25.63,26.06,58.64,0.009,0.98
2019-11-01 05:24:05.507,off,25.63,25.98,58.64,0.0,0.98
2019-11-01 05:24:10.507,heating,25.63,26.08,58.64,0.009,0.99
2019-11-01 05:24:15.507,off,25.63,26.0,58.64,0.0,0.99
